rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,status,status,service,latitude,longitude,altitude,position_covariance,position_covariance_type
1520440529267311303,,64,,1520440529,54620652,"""base_link""",,-1,1,0.0,0.0,0.163,"[9997.999672796635, 0.0, 0.0, 0.0, 9997.999672796635, 0.0, 0.0, 0.0, 39991.99869118654]",1
1520440529479715358,,65,,1520440529,254273830,"""base_link""",,-1,1,0.0,0.0,0.163,"[9997.999672796635, 0.0, 0.0, 0.0, 9997.999672796635, 0.0, 0.0, 0.0, 39991.99869118654]",1
1520440529672775606,,66,,1520440529,462734536,"""base_link""",,-1,1,0.0,0.0,0.163,"[9997.999672796635, 0.0, 0.0, 0.0, 9997.999672796635, 0.0, 0.0, 0.0, 39991.99869118654]",1
1520440529877721152,,67,,1520440529,666389464,"""base_link""",,-1,1,0.0,0.0,0.163,"[9997.999672796635, 0.0, 0.0, 0.0, 9997.999672796635, 0.0, 0.0, 0.0, 39991.99869118654]",1
1520440530073366567,,68,,1520440529,858062930,"""base_link""",,-1,1,0.0,0.0,0.163,"[9997.999672796635, 0.0, 0.0, 0.0, 9997.999672796635, 0.0, 0.0, 0.0, 39991.99869118654]",1
1520440530277878921,,69,,1520440530,61169424,"""base_link""",,-1,1,0.0,0.0,0.163,"[9997.999672796635, 0.0, 0.0, 0.0, 9997.999672796635, 0.0, 0.0, 0.0, 39991.99869118654]",1
1520440530477674879,,70,,1520440530,265005216,"""base_link""",,-1,1,0.0,0.0,0.163,"[9997.999672796635, 0.0, 0.0, 0.0, 9997.999672796635, 0.0, 0.0, 0.0, 39991.99869118654]",1
1520440530676278689,,71,,1520440530,452043098,"""base_link""",,-1,1,0.0,0.0,0.163,"[9997.999672796635, 0.0, 0.0, 0.0, 9997.999672796635, 0.0, 0.0, 0.0, 39991.99869118654]",1
1520440530878897596,,72,,1520440530,669843624,"""base_link""",,-1,1,0.0,0.0,0.163,"[9997.999672796635, 0.0, 0.0, 0.0, 9997.999672796635, 0.0, 0.0, 0.0, 39991.99869118654]",1
1520440531066001116,,73,,1520440530,862613392,"""base_link""",,-1,1,0.0,0.0,0.163,"[9997.999672796635, 0.0, 0.0, 0.0, 9997.999672796635, 0.0, 0.0, 0.0, 39991.99869118654]",1
1520440531267368954,,74,,1520440531,61943952,"""base_link""",,-1,1,0.0,0.0,0.163,"[9997.999672796635, 0.0, 0.0, 0.0, 9997.999672796635, 0.0, 0.0, 0.0, 39991.99869118654]",1
1520440531472219574,,75,,1520440531,263379496,"""base_link""",,-1,1,0.0,0.0,0.163,"[9997.999672796635, 0.0, 0.0, 0.0, 9997.999672796635, 0.0, 0.0, 0.0, 39991.99869118654]",1
1520440531701191432,,76,,1520440531,463916120,"""base_link""",,-1,1,0.0,0.0,0.163,"[9997.999672796635, 0.0, 0.0, 0.0, 9997.999672796635, 0.0, 0.0, 0.0, 39991.99869118654]",1
1520440531875041633,,77,,1520440531,659368477,"""base_link""",,-1,1,0.0,0.0,0.163,"[9997.999672796635, 0.0, 0.0, 0.0, 9997.999672796635, 0.0, 0.0, 0.0, 39991.99869118654]",1
1520440532072469124,,78,,1520440531,859070472,"""base_link""",,-1,1,0.0,0.0,0.163,"[9997.999672796635, 0.0, 0.0, 0.0, 9997.999672796635, 0.0, 0.0, 0.0, 39991.99869118654]",1
1520440532272065540,,79,,1520440532,63915656,"""base_link""",,-1,1,0.0,0.0,0.163,"[9997.999672796635, 0.0, 0.0, 0.0, 9997.999672796635, 0.0, 0.0, 0.0, 39991.99869118654]",1
1520440532477061577,,80,,1520440532,265045088,"""base_link""",,-1,1,0.0,0.0,0.163,"[9997.999672796635, 0.0, 0.0, 0.0, 9997.999672796635, 0.0, 0.0, 0.0, 39991.99869118654]",1
1520440532694431547,,81,,1520440532,471279304,"""base_link""",,-1,1,0.0,0.0,0.163,"[9997.999672796635, 0.0, 0.0, 0.0, 9997.999672796635, 0.0, 0.0, 0.0, 39991.99869118654]",1
1520440532871977150,,82,,1520440532,669637421,"""base_link""",,-1,1,0.0,0.0,0.163,"[9997.999672796635, 0.0, 0.0, 0.0, 9997.999672796635, 0.0, 0.0, 0.0, 39991.99869118654]",1
1520440533091241820,,83,,1520440532,864481296,"""base_link""",,-1,1,0.0,0.0,0.163,"[9997.999672796635, 0.0, 0.0, 0.0, 9997.999672796635, 0.0, 0.0, 0.0, 39991.99869118654]",1
1520440533267723981,,84,,1520440533,65464545,"""base_link""",,-1,1,0.0,0.0,0.163,"[9997.999672796635, 0.0, 0.0, 0.0, 9997.999672796635, 0.0, 0.0, 0.0, 39991.99869118654]",1
1520440533477102959,,85,,1520440533,271786320,"""base_link""",,-1,1,0.0,0.0,0.163,"[9997.999672796635, 0.0, 0.0, 0.0, 9997.999672796635, 0.0, 0.0, 0.0, 39991.99869118654]",1
1520440533677768649,,86,,1520440533,468842544,"""base_link""",,-1,1,0.0,0.0,0.163,"[9997.999672796635, 0.0, 0.0, 0.0, 9997.999672796635, 0.0, 0.0, 0.0, 39991.99869118654]",1
1520440533877132708,,87,,1520440533,666098432,"""base_link""",,-1,1,0.0,0.0,0.163,"[9997.999672796635, 0.0, 0.0, 0.0, 9997.999672796635, 0.0, 0.0, 0.0, 39991.99869118654]",1
1520440534077295191,,88,,1520440533,863739960,"""base_link""",,-1,1,0.0,0.0,0.163,"[9997.999672796635, 0.0, 0.0, 0.0, 9997.999672796635, 0.0, 0.0, 0.0, 39991.99869118654]",1
1520440534267986453,,89,,1520440534,68689608,"""base_link""",,-1,1,0.0,0.0,0.163,"[9997.999672796635, 0.0, 0.0, 0.0, 9997.999672796635, 0.0, 0.0, 0.0, 39991.99869118654]",1
1520440534461577931,,90,,1520440534,266285600,"""base_link""",,-1,1,0.0,0.0,0.163,"[9997.999672796635, 0.0, 0.0, 0.0, 9997.999672796635, 0.0, 0.0, 0.0, 39991.99869118654]",1
1520440534662782433,,91,,1520440534,461715552,"""base_link""",,-1,1,0.0,0.0,0.163,"[9997.999672796635, 0.0, 0.0, 0.0, 9997.999672796635, 0.0, 0.0, 0.0, 39991.99869118654]",1
1520440534877641144,,92,,1520440534,659556792,"""base_link""",,-1,1,0.0,0.0,0.163,"[9997.999672796635, 0.0, 0.0, 0.0, 9997.999672796635, 0.0, 0.0, 0.0, 39991.99869118654]",1
1520440535076774142,,93,,1520440534,870535285,"""base_link""",,-1,1,0.0,0.0,0.163,"[9997.999672796635, 0.0, 0.0, 0.0, 9997.999672796635, 0.0, 0.0, 0.0, 39991.99869118654]",1
1520440535267490921,,94,,1520440535,68325472,"""base_link""",,-1,1,0.0,0.0,0.163,"[9997.999672796635, 0.0, 0.0, 0.0, 9997.999672796635, 0.0, 0.0, 0.0, 39991.99869118654]",1
1520440535497807186,,95,,1520440535,267865928,"""base_link""",,-1,1,0.0,0.0,0.163,"[9997.999672796635, 0.0, 0.0, 0.0, 9997.999672796635, 0.0, 0.0, 0.0, 39991.99869118654]",1
1520440535675011538,,96,,1520440535,456301304,"""base_link""",,-1,1,0.0,0.0,0.163,"[9997.999672796635, 0.0, 0.0, 0.0, 9997.999672796635, 0.0, 0.0, 0.0, 39991.99869118654]",1
1520440535877123455,,97,,1520440535,663811040,"""base_link""",,-1,1,0.0,0.0,0.163,"[9997.999672796635, 0.0, 0.0, 0.0, 9997.999672796635, 0.0, 0.0, 0.0, 39991.99869118654]",1
1520440536076402930,,98,,1520440536,62399736,"""base_link""",,-1,1,0.0,0.0,0.163,"[9997.999672796635, 0.0, 0.0, 0.0, 9997.999672796635, 0.0, 0.0, 0.0, 39991.99869118654]",1
1520440536472449376,,99,,1520440536,261264304,"""base_link""",,-1,1,0.0,0.0,0.163,"[9997.999672796635, 0.0, 0.0, 0.0, 9997.999672796635, 0.0, 0.0, 0.0, 39991.99869118654]",1
1520440536679342924,,100,,1520440536,661046544,"""base_link""",,-1,1,0.0,0.0,0.163,"[9997.999672796635, 0.0, 0.0, 0.0, 9997.999672796635, 0.0, 0.0, 0.0, 39991.99869118654]",1
1520440537077171347,,101,,1520440536,863496856,"""base_link""",,-1,1,0.0,0.0,0.163,"[9997.999672796635, 0.0, 0.0, 0.0, 9997.999672796635, 0.0, 0.0, 0.0, 39991.99869118654]",1
1520440537276124192,,102,,1520440537,267939808,"""base_link""",,-1,1,0.0,0.0,0.163,"[9997.999672796635, 0.0, 0.0, 0.0, 9997.999672796635, 0.0, 0.0, 0.0, 39991.99869118654]",1
1520440537677771629,,103,,1520440537,465542144,"""base_link""",,-1,1,0.0,0.0,0.163,"[9997.999672796635, 0.0, 0.0, 0.0, 9997.999672796635, 0.0, 0.0, 0.0, 39991.99869118654]",1
1520440537874289100,,104,,1520440537,667685432,"""base_link""",,-1,1,0.0,0.0,0.163,"[9997.999672796635, 0.0, 0.0, 0.0, 9997.999672796635, 0.0, 0.0, 0.0, 39991.99869118654]",1
1520440538072181248,,105,,1520440537,861099320,"""base_link""",,-1,1,0.0,0.0,0.163,"[9997.999672796635, 0.0, 0.0, 0.0, 9997.999672796635, 0.0, 0.0, 0.0, 39991.99869118654]",1
1520440538267577513,,106,,1520440538,62119600,"""base_link""",,-1,1,0.0,0.0,0.163,"[9997.999672796635, 0.0, 0.0, 0.0, 9997.999672796635, 0.0, 0.0, 0.0, 39991.99869118654]",1
1520440538672558554,,107,,1520440538,463473680,"""base_link""",,-1,1,0.0,0.0,0.163,"[9997.999672796635, 0.0, 0.0, 0.0, 9997.999672796635, 0.0, 0.0, 0.0, 39991.99869118654]",1
1520440538874616970,,108,,1520440538,664153912,"""base_link""",,-1,1,0.0,0.0,0.163,"[9997.999672796635, 0.0, 0.0, 0.0, 9997.999672796635, 0.0, 0.0, 0.0, 39991.99869118654]",1
1520440539080071441,,109,,1520440538,858892568,"""base_link""",,-1,1,0.0,0.0,0.163,"[9997.999672796635, 0.0, 0.0, 0.0, 9997.999672796635, 0.0, 0.0, 0.0, 39991.99869118654]",1
1520440539267851648,,110,,1520440539,62965008,"""base_link""",,-1,1,0.0,0.0,0.163,"[9997.999672796635, 0.0, 0.0, 0.0, 9997.999672796635, 0.0, 0.0, 0.0, 39991.99869118654]",1
1520440539497125885,,111,,1520440539,265063328,"""base_link""",,-1,1,0.0,0.0,0.163,"[9997.999672796635, 0.0, 0.0, 0.0, 9997.999672796635, 0.0, 0.0, 0.0, 39991.99869118654]",1
