rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,channels
1520440529276090180,,129,,1520440529,260979652,'',"[1190, 1190, 1190, 1190, 0, 0, 0, 0]"
1520440529392064397,,130,,1520440529,382198510,'',"[1190, 1190, 1190, 1190, 0, 0, 0, 0]"
1520440529480030924,,131,,1520440529,459922830,'',"[1190, 1190, 1190, 1190, 0, 0, 0, 0]"
1520440529574294065,,132,,1520440529,571281879,'',"[1190, 1190, 1190, 1190, 0, 0, 0, 0]"
1520440529684736815,,133,,1520440529,672439536,'',"[1190, 1190, 1190, 1190, 0, 0, 0, 0]"
1520440529778949641,,134,,1520440529,764411592,'',"[1190, 1190, 1190, 1190, 0, 0, 0, 0]"
1520440529901012534,,135,,1520440529,873843464,'',"[1190, 1190, 1190, 1190, 0, 0, 0, 0]"
1520440529976920037,,136,,1520440529,975904872,'',"[1190, 1190, 1190, 1190, 0, 0, 0, 0]"
1520440530081442326,,137,,1520440530,69475930,'',"[1190, 1190, 1190, 1190, 0, 0, 0, 0]"
1520440530177648895,,138,,1520440530,167510208,'',"[1190, 1190, 1190, 1190, 0, 0, 0, 0]"
1520440530277976583,,139,,1520440530,268184424,'',"[1190, 1190, 1190, 1190, 0, 0, 0, 0]"
1520440530376507725,,140,,1520440530,373580448,'',"[1190, 1190, 1190, 1190, 0, 0, 0, 0]"
1520440530501964414,,141,,1520440530,476375216,'',"[1190, 1190, 1190, 1190, 0, 0, 0, 0]"
1520440530591817786,,142,,1520440530,575130016,'',"[1190, 1190, 1190, 1190, 0, 0, 0, 0]"
1520440530701404672,,143,,1520440530,660250098,'',"[1190, 1190, 1190, 1190, 0, 0, 0, 0]"
1520440530803617627,,144,,1520440530,774887575,'',"[1190, 1190, 1190, 1190, 0, 0, 0, 0]"
1520440530878456683,,145,,1520440530,873190624,'',"[1190, 1190, 1190, 1190, 0, 0, 0, 0]"
1520440530983240258,,146,,1520440530,979081112,'',"[1190, 1190, 1190, 1190, 0, 0, 0, 0]"
1520440531091142271,,147,,1520440531,75584392,'',"[1190, 1190, 1190, 1190, 0, 0, 0, 0]"
1520440531184192653,,148,,1520440531,171669048,'',"[1190, 1190, 1190, 1190, 0, 0, 0, 0]"
1520440531285598031,,149,,1520440531,274275952,'',"[1190, 1190, 1190, 1190, 0, 0, 0, 0]"
1520440531400968385,,150,,1520440531,368927736,'',"[1190, 1190, 1190, 1190, 0, 0, 0, 0]"
1520440531476430624,,151,,1520440531,468896496,'',"[1190, 1190, 1190, 1190, 0, 0, 0, 0]"
