rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,level,name,msg,file,function,line,topics
1520440529018602389,,37,,1520440528,948969480,'',2,"""/record_1520440528834828035""","""Subscribing to /rosout""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.12/src/recorder.cpp""","""shared_ptr<ros",211,[/rosout]
1520440529018613014,,38,,1520440528,952102617,'',2,"""/record_1520440528834828035""","""Subscribing to /mavros/global_position/local""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.12/src/recorder.cpp""","""shared_ptr<ros",211,[/rosout]
1520440529018630704,,39,,1520440528,954785637,'',2,"""/record_1520440528834828035""","""Subscribing to /rosout_agg""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.12/src/recorder.cpp""","""shared_ptr<ros",211,[/rosout]
1520440529018642578,,40,,1520440528,957293083,'',2,"""/record_1520440528834828035""","""Subscribing to /mavros/vfr_hud""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.12/src/recorder.cpp""","""shared_ptr<ros",211,[/rosout]
1520440529018649775,,41,,1520440528,961123627,'',2,"""/record_1520440528834828035""","""Subscribing to /mavros/px4flow/ground_distance""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.12/src/recorder.cpp""","""shared_ptr<ros",211,[/rosout]
1520440529018672292,,42,,1520440528,964972443,'',2,"""/record_1520440528834828035""","""Subscribing to /mavros/px4flow/temperature""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.12/src/recorder.cpp""","""shared_ptr<ros",211,[/rosout]
1520440529018698512,,43,,1520440528,967905651,'',2,"""/record_1520440528834828035""","""Subscribing to /mavros/global_position/rel_alt""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.12/src/recorder.cpp""","""shared_ptr<ros",211,[/rosout]
1520440529018746337,,44,,1520440528,970414245,'',2,"""/record_1520440528834828035""","""Subscribing to /mavros/imu/mag""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.12/src/recorder.cpp""","""shared_ptr<ros",211,[/rosout]
1520440529018766935,,45,,1520440528,972926801,'',2,"""/record_1520440528834828035""","""Subscribing to /mavros/local_position/odom""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.12/src/recorder.cpp""","""shared_ptr<ros",211,[/rosout]
1520440529018777191,,46,,1520440528,975402021,'',2,"""/record_1520440528834828035""","""Subscribing to /mavros/extended_state""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.12/src/recorder.cpp""","""shared_ptr<ros",211,[/rosout]
1520440529018784035,,47,,1520440528,978378227,'',2,"""/record_1520440528834828035""","""Subscribing to /mavros/hil/controls""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.12/src/recorder.cpp""","""shared_ptr<ros",211,[/rosout]
1520440529018789634,,48,,1520440528,981517946,'',2,"""/record_1520440528834828035""","""Subscribing to /mavros/time_reference""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.12/src/recorder.cpp""","""shared_ptr<ros",211,[/rosout]
1520440529018796550,,49,,1520440528,984067319,'',2,"""/record_1520440528834828035""","""Subscribing to /mavros/local_position/velocity""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.12/src/recorder.cpp""","""shared_ptr<ros",211,[/rosout]
1520440529018801387,,50,,1520440529,2172440,'',2,"""/record_1520440528834828035""","""Subscribing to /mavros/global_position/gp_lp_offset""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.12/src/recorder.cpp""","""shared_ptr<ros",211,[/rosout]
1520440529018805789,,51,,1520440529,5298189,'',2,"""/record_1520440528834828035""","""Subscribing to /mavros/global_position/raw/gps_vel""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.12/src/recorder.cpp""","""shared_ptr<ros",211,[/rosout]
1520440529018818936,,52,,1520440529,7929302,'',2,"""/record_1520440528834828035""","""Subscribing to /mavros/rc/out""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.12/src/recorder.cpp""","""shared_ptr<ros",211,[/rosout]
1520440529018823149,,53,,1520440529,11793922,'',2,"""/record_1520440528834828035""","""Subscribing to /mavros/debug_value/debug_vector""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.12/src/recorder.cpp""","""shared_ptr<ros",211,[/rosout]
1520440529018838263,,54,,1520440529,15311367,'',2,"""/record_1520440528834828035""","""Subscribing to /mavros/setpoint_raw/target_global""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.12/src/recorder.cpp""","""shared_ptr<ros",211,[/rosout]
1520440529107706915,,5,,1520440508,788501945,'',2,"""/vrpn_client_node""","""Creating new tracker RigidBody01""","""/home/mathias/catkin_ws/src/vrpn_client_ros/src/vrpn_client_ros.cpp""","""VrpnTrackerRos",94,[/rosout]
1520440529107955601,,102,,1520440527,915670380,'',2,"""/mavros""","""FCU","""/tmp/binarydeb/ros-kinetic-mavros-0.23.0/src/plugins/sys_status.cpp""","""std_plugins",549,"[/rosout, /diagnostics, /tf, /tf_static, /mavlink/from, /mavros/radio_status, /mavros/target_actuator_control,"
1520440529108331590,,0,,1520440518,881958195,'',2,"""/pose_relay_1520440518608161734""","""advertised as /mavros/mocap/pose\n""","""/tmp/binarydeb/ros-kinetic-topic-tools-1.12.12/src/relay.cpp""","""MessageEvent<topic_tools",90,"[/rosout, /mavros/mocap/pose]"
1520440529187148365,,103,,1520440529,186878386,'',2,"""/mavros""","""FCU","""/tmp/binarydeb/ros-kinetic-mavros-0.23.0/src/plugins/sys_status.cpp""","""std_plugins",549,"[/rosout, /diagnostics, /tf, /tf_static, /mavlink/from, /mavros/radio_status, /mavros/target_actuator_control,"
1520440530592711685,,104,,1520440530,592458592,'',4,"""/mavros""","""PR","""/tmp/binarydeb/ros-kinetic-mavros-0.23.0/src/plugins/param.cpp""","""std_plugins",617,"[/rosout, /diagnostics, /tf, /tf_static, /mavlink/from, /mavros/radio_status, /mavros/target_actuator_control,"
1520440531655784052,,105,,1520440531,655336767,'',4,"""/mavros""","""PR","""/tmp/binarydeb/ros-kinetic-mavros-0.23.0/src/plugins/param.cpp""","""std_plugins",617,"[/rosout, /diagnostics, /tf, /tf_static, /mavlink/from, /mavros/radio_status, /mavros/target_actuator_control,"
1520440531702084745,,106,,1520440531,701542956,'',2,"""/mavros""","""WP","""/tmp/binarydeb/ros-kinetic-mavros-0.23.0/src/plugins/waypoint.cpp""","""std_plugins",577,"[/rosout, /diagnostics, /tf, /tf_static, /mavlink/from, /mavros/radio_status, /mavros/target_actuator_control,"
1520440532694809916,,107,,1520440532,693925975,'',2,"""/mavros""","""FCU","""/tmp/binarydeb/ros-kinetic-mavros-0.23.0/src/plugins/sys_status.cpp""","""std_plugins",549,"[/rosout, /diagnostics, /tf, /tf_static, /mavlink/from, /mavros/radio_status, /mavros/target_actuator_control,"
1520440532702383253,,108,,1520440532,701876965,'',4,"""/mavros""","""PR","""/tmp/binarydeb/ros-kinetic-mavros-0.23.0/src/plugins/param.cpp""","""std_plugins",617,"[/rosout, /diagnostics, /tf, /tf_static, /mavlink/from, /mavros/radio_status, /mavros/target_actuator_control,"
1520440533751809056,,109,,1520440533,751454713,'',4,"""/mavros""","""PR","""/tmp/binarydeb/ros-kinetic-mavros-0.23.0/src/plugins/param.cpp""","""std_plugins",617,"[/rosout, /diagnostics, /tf, /tf_static, /mavlink/from, /mavros/radio_status, /mavros/target_actuator_control,"
1520440534436930528,,110,,1520440534,436341383,'',2,"""/mavros""","""FCU","""/tmp/binarydeb/ros-kinetic-mavros-0.23.0/src/plugins/sys_status.cpp""","""std_plugins",549,"[/rosout, /diagnostics, /tf, /tf_static, /mavlink/from, /mavros/radio_status, /mavros/target_actuator_control,"
1520440534765867130,,111,,1520440534,765554327,'',4,"""/mavros""","""PR","""/tmp/binarydeb/ros-kinetic-mavros-0.23.0/src/plugins/param.cpp""","""std_plugins",617,"[/rosout, /diagnostics, /tf, /tf_static, /mavlink/from, /mavros/radio_status, /mavros/target_actuator_control,"
1520440535347810018,,112,,1520440535,347011504,'',2,"""/mavros""","""FCU","""/tmp/binarydeb/ros-kinetic-mavros-0.23.0/src/plugins/sys_status.cpp""","""std_plugins",549,"[/rosout, /diagnostics, /tf, /tf_static, /mavlink/from, /mavros/radio_status, /mavros/target_actuator_control,"
1520440535773609106,,113,,1520440535,773157536,'',4,"""/mavros""","""PR","""/tmp/binarydeb/ros-kinetic-mavros-0.23.0/src/plugins/param.cpp""","""std_plugins",617,"[/rosout, /diagnostics, /tf, /tf_static, /mavlink/from, /mavros/radio_status, /mavros/target_actuator_control,"
1520440536332462892,,114,,1520440536,332168724,'',2,"""/mavros""","""FCU","""/tmp/binarydeb/ros-kinetic-mavros-0.23.0/src/plugins/sys_status.cpp""","""std_plugins",549,"[/rosout, /diagnostics, /tf, /tf_static, /mavlink/from, /mavros/radio_status, /mavros/target_actuator_control,"
1520440536657164555,,115,,1520440536,656681108,'',2,"""/mavros""","""HP","""/tmp/binarydeb/ros-kinetic-mavros-0.23.0/src/plugins/home_position.cpp""","""std_plugins",165,"[/rosout, /diagnostics, /tf, /tf_static, /mavlink/from, /mavros/radio_status, /mavros/target_actuator_control,"
1520440536794179949,,116,,1520440536,793684568,'',4,"""/mavros""","""PR","""/tmp/binarydeb/ros-kinetic-mavros-0.23.0/src/plugins/param.cpp""","""std_plugins",617,"[/rosout, /diagnostics, /tf, /tf_static, /mavlink/from, /mavros/radio_status, /mavros/target_actuator_control,"
1520440537651673796,,0,,1520440537,651250166,'',2,"""/offb_node""","""Offboard enabled""","""/home/mathias/catkin_ws/src/drone_mocap/src/offb_node.cpp""","""main""",81,"[/rosout, /mavros/setpoint_position/local]"
1520440537677250922,,117,,1520440537,676780617,'',4,"""/mavros""","""CMD","""/tmp/binarydeb/ros-kinetic-mavros-0.23.0/src/plugins/command.cpp""","""std_plugins",116,"[/rosout, /diagnostics, /tf, /tf_static, /mavlink/from, /mavros/radio_status, /mavros/target_actuator_control,"
